시도,시군구,연도,월,사고건수
서울,은평구,2019년,06월,92.0
서울,은평구,2019년,07월,84.0
서울,은평구,2019년,08월,91.0
서울,은평구,2019년,09월,99.0
서울,은평구,2019년,10월,103.0
서울,은평구,2019년,11월,110.0
서울,은평구,2019년,12월,103.0
서울,은평구,2020년,01월,73.0
서울,은평구,2020년,02월,83.0
서울,은평구,2020년,03월,68.0
서울,은평구,2020년,04월,74.0
서울,은평구,2020년,05월,74.0
서울,은평구,2020년,06월,75.0
서울,은평구,2020년,07월,81.0
서울,은평구,2020년,08월,85.0
서울,은평구,2020년,09월,98.0
서울,은평구,2020년,10월,92.0
서울,은평구,2020년,11월,79.0
서울,은평구,2020년,12월,71.0
서울,서대문구,2018년,01월,71.0
서울,서대문구,2018년,02월,79.0
서울,서대문구,2018년,03월,83.0
서울,서대문구,2018년,04월,101.0
서울,서대문구,2018년,05월,87.0
서울,서대문구,2018년,06월,83.0
서울,서대문구,2018년,07월,86.0
서울,서대문구,2018년,08월,81.0
서울,서대문구,2018년,09월,86.0
서울,서대문구,2018년,10월,102.0
서울,서대문구,2018년,11월,82.0
서울,서대문구,2018년,12월,92.0
서울,서대문구,2019년,01월,82.0
서울,서대문구,2019년,02월,75.0
서울,서대문구,2019년,03월,73.0
서울,서대문구,2019년,04월,81.0
서울,서대문구,2019년,05월,111.0
서울,서대문구,2019년,06월,90.0
서울,서대문구,2019년,07월,107.0
서울,서대문구,2019년,08월,94.0
서울,서대문구,2019년,09월,118.0
서울,서대문구,2019년,10월,84.0
서울,서대문구,2019년,11월,104.0
서울,서대문구,2019년,12월,94.0
서울,서대문구,2020년,01월,84.0
서울,서대문구,2020년,02월,72.0
서울,서대문구,2020년,03월,61.0
서울,서대문구,2020년,04월,58.0
서울,서대문구,2020년,05월,75.0
서울,서대문구,2020년,06월,99.0
서울,서대문구,2020년,07월,98.0
서울,서대문구,2020년,08월,78.0
서울,서대문구,2020년,09월,69.0
서울,서대문구,2020년,10월,85.0
서울,서대문구,2020년,11월,82.0
서울,서대문구,2020년,12월,67.0
서울,마포구,2018년,01월,153.0
서울,마포구,2018년,02월,137.0
서울,마포구,2018년,03월,127.0
서울,마포구,2018년,04월,129.0
서울,마포구,2018년,05월,144.0
서울,마포구,2018년,06월,141.0
서울,마포구,2018년,07월,140.0
서울,마포구,2018년,08월,124.0
서울,마포구,2018년,09월,153.0
서울,마포구,2018년,10월,148.0
서울,마포구,2018년,11월,148.0
서울,마포구,2018년,12월,127.0
서울,마포구,2019년,01월,110.0
서울,마포구,2019년,02월,112.0
서울,마포구,2019년,03월,108.0
서울,마포구,2019년,04월,104.0
서울,마포구,2019년,05월,139.0
서울,마포구,2019년,06월,129.0
서울,마포구,2019년,07월,148.0
서울,마포구,2019년,08월,145.0
서울,마포구,2019년,09월,121.0
서울,마포구,2019년,10월,129.0
서울,마포구,2019년,11월,124.0
서울,마포구,2019년,12월,125.0
서울,마포구,2020년,01월,98.0
서울,마포구,2020년,02월,117.0
서울,마포구,2020년,03월,109.0
서울,마포구,2020년,04월,104.0
서울,마포구,2020년,05월,131.0
서울,마포구,2020년,06월,114.0
서울,마포구,2020년,07월,104.0
서울,마포구,2020년,08월,114.0
서울,마포구,2020년,09월,109.0
서울,마포구,2020년,10월,102.0
서울,마포구,2020년,11월,89.0
서울,마포구,2020년,12월,81.0
서울,강서구,2018년,01월,134.0
서울,강서구,2018년,02월,134.0
서울,강서구,2018년,03월,109.0
서울,강서구,2018년,04월,124.0
서울,강서구,2018년,05월,103.0
서울,강서구,2018년,06월,131.0
서울,강서구,2018년,07월,115.0
서울,강서구,2018년,08월,141.0
서울,강서구,2018년,09월,116.0
서울,강서구,2018년,10월,122.0
