시도,시군구,연도,월,부상자수
서울,마포구,2020년,11월,118.0
서울,마포구,2020년,12월,102.0
서울,강서구,2018년,01월,210.0
서울,강서구,2018년,02월,177.0
서울,강서구,2018년,03월,164.0
서울,강서구,2018년,04월,206.0
서울,강서구,2018년,05월,155.0
서울,강서구,2018년,06월,189.0
서울,강서구,2018년,07월,173.0
서울,강서구,2018년,08월,228.0
서울,강서구,2018년,09월,169.0
서울,강서구,2018년,10월,156.0
서울,강서구,2018년,11월,208.0
서울,강서구,2018년,12월,173.0
서울,강서구,2019년,01월,179.0
서울,강서구,2019년,02월,165.0
서울,강서구,2019년,03월,194.0
서울,강서구,2019년,04월,189.0
서울,강서구,2019년,05월,230.0
서울,강서구,2019년,06월,206.0
서울,강서구,2019년,07월,185.0
서울,강서구,2019년,08월,260.0
서울,강서구,2019년,09월,237.0
서울,강서구,2019년,10월,214.0
서울,강서구,2019년,11월,226.0
서울,강서구,2019년,12월,206.0
서울,강서구,2020년,01월,193.0
서울,강서구,2020년,02월,163.0
서울,강서구,2020년,03월,172.0
서울,강서구,2020년,04월,180.0
서울,강서구,2020년,05월,204.0
서울,강서구,2020년,06월,188.0
서울,강서구,2020년,07월,173.0
서울,강서구,2020년,08월,169.0
서울,강서구,2020년,09월,214.0
서울,강서구,2020년,10월,175.0
서울,강서구,2020년,11월,175.0
서울,강서구,2020년,12월,125.0
서울,구로구,2018년,01월,162.0
서울,구로구,2018년,02월,182.0
서울,구로구,2018년,03월,167.0
서울,구로구,2018년,04월,159.0
서울,구로구,2018년,05월,176.0
서울,구로구,2018년,06월,177.0
서울,구로구,2018년,07월,206.0
서울,구로구,2018년,08월,150.0
서울,구로구,2018년,09월,209.0
서울,구로구,2018년,10월,195.0
서울,구로구,2018년,11월,179.0
서울,구로구,2018년,12월,167.0
서울,구로구,2019년,01월,189.0
서울,구로구,2019년,02월,127.0
서울,구로구,2019년,03월,189.0
서울,구로구,2019년,04월,204.0
서울,구로구,2019년,05월,177.0
서울,구로구,2019년,06월,187.0
서울,구로구,2019년,07월,148.0
서울,구로구,2019년,08월,177.0
서울,구로구,2019년,09월,180.0
서울,구로구,2019년,10월,178.0
서울,구로구,2019년,11월,167.0
서울,구로구,2019년,12월,173.0
서울,구로구,2020년,01월,157.0
서울,구로구,2020년,02월,163.0
서울,구로구,2020년,03월,142.0
서울,구로구,2020년,04월,141.0
서울,구로구,2020년,05월,167.0
서울,구로구,2020년,06월,161.0
서울,구로구,2020년,07월,152.0
서울,구로구,2020년,08월,173.0
서울,구로구,2020년,09월,155.0
서울,구로구,2020년,10월,131.0
서울,구로구,2020년,11월,142.0
서울,구로구,2020년,12월,126.0
서울,영등포구,2018년,01월,316.0
서울,영등포구,2018년,02월,261.0
서울,영등포구,2018년,03월,274.0
서울,영등포구,2018년,04월,269.0
서울,영등포구,2018년,05월,277.0
서울,영등포구,2018년,06월,309.0
서울,영등포구,2018년,07월,283.0
서울,영등포구,2018년,08월,310.0
서울,영등포구,2018년,09월,325.0
서울,영등포구,2018년,10월,279.0
서울,영등포구,2018년,11월,313.0
서울,영등포구,2018년,12월,316.0
서울,영등포구,2019년,01월,268.0
서울,영등포구,2019년,02월,186.0
서울,영등포구,2019년,03월,252.0
서울,영등포구,2019년,04월,360.0
서울,영등포구,2019년,05월,325.0
서울,영등포구,2019년,06월,293.0
서울,영등포구,2019년,07월,285.0
서울,영등포구,2019년,08월,295.0
서울,영등포구,2019년,09월,286.0
서울,영등포구,2019년,10월,344.0
서울,영등포구,2019년,11월,279.0
서울,영등포구,2019년,12월,278.0
서울,영등포구,2020년,01월,267.0
서울,영등포구,2020년,02월,256.0
서울,영등포구,2020년,03월,234.0
서울,영등포구,2020년,04월,235.0
서울,영등포구,2020년,05월,282.0
서울,영등포구,2020년,06월,277.0
서울,영등포구,2020년,07월,315.0
서울,영등포구,2020년,08월,265.0
서울,영등포구,2020년,09월,228.0
서울,영등포구,2020년,10월,250.0
서울,영등포구,2020년,11월,237.0
서울,영등포구,2020년,12월,256.0
서울,동작구,2018년,01월,109.0
서울,동작구,2018년,02월,148.0
서울,동작구,2018년,03월,126.0
서울,동작구,2018년,04월,179.0
서울,동작구,2018년,05월,176.0
서울,동작구,2018년,06월,179.0
서울,동작구,2018년,07월,150.0
서울,동작구,2018년,08월,169.0
서울,동작구,2018년,09월,167.0
서울,동작구,2018년,10월,174.0
서울,동작구,2018년,11월,144.0
서울,동작구,2018년,12월,171.0
서울,동작구,2019년,01월,118.0
서울,동작구,2019년,02월,119.0
서울,동작구,2019년,03월,184.0
서울,동작구,2019년,04월,136.0
서울,동작구,2019년,05월,231.0
서울,동작구,2019년,06월,210.0
서울,동작구,2019년,07월,168.0
